Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
Al-Dis,FAAS-NAc-D,mg/l,Aluminum - Dissolved,Direct Nitrous Oxide-Acetylene Flame Atomic Absorption Spectrometry,Spectroscopy,SM 3111 D,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with diluted mineral acid. The sample aliquot is aspirated and the absorbance measured spectrometrically at 309.3 nm, and compared with to identically-prepared Al standard and blank solutions, using a N2O-C2H2 reducing flame."
Al-Dis,FAAS-NAc-E,mg/l,Aluminum - Dissolved,Extraction/Nitrous Oxide-Aceteylene Flame Atomic Absorption Spectrometry,Spectroscopy,SM 3111 E,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with diluted mineral acid. An 8-hydroxy-quinoline and a buffer solution (pH=8) are added to the sample aliquot to adjust the pH between 7.5 and 8.5. This solution is extracted twice with CHCl3. The extractions are combined and the solvent layer is aspirated and the absorbance is measured spectrometrically at 309.3 nm and compared to identically-prepared standard and blank solutions, using a N2O-C2H2 reducing flame."
Al-Dis,ICP-AES,mg/l,Aluminum - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved with dilute mineral acid. The sample aliquot is aspirated and the emission is measured at 309.3 nm and compared to identically-prepared standard and blank solutions.
Al-Dis,ICP-AES-Xtr,mg/l,Aluminum - Dissolved,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is concentrated appropriately and aspirated from an autosampler. The emission is measured at 309.3 nm and compared to identically-prepared Al standard and blank solutions.
Al-Dis,ICP-MS,mg/l,Aluminum - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with dilute mineral acid. The sample aliquot is introduced in an argon stream high temperature and radio frequency plasma through a pneumatic pump. The energy from the plasma is transferred to the sample and causes desolvation, atomisation and ionisation. The ions generated are extracted from the plasma, through a vacuum interface, and separated on the basis of their mass to charge ratio in the mass spectrometer, the ions are counted by an electron multiplier detector, the data are processed by a computer data handling system and compared to identically-prepared standard and blank solutions. Interference: Isobaric elemental interferences are calculated automatically by the data system; the abundance sensitivity should be corrected through adjustment of the spectrometer resolution; physical interferences are usually corrected by ensuring the water sample does not contain more than 0.5% dissolved solids; ionisation interferences are corrected by the addition of internal standards and sufficient wash time should minimise memory interferences."
ALDRIN,LLE-GC-ECD,µg/l,Aldrin,Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector,Chromatography,SM 6630 B,APHA 2012,"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantitated, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry. Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required."
Alk-Tot,Alk-IR,mg/l,Total Alkalinity,Infrared Detection of CO2,Spectroscopy,STAR 223,Environment Canada 2007,"A filtered sample is mixed with HCl, then oxygen. The resulting CO2 is separated from the liquid phase and determined by in infrared detector."
Alk-Tot,Alk-T-COL-BCG,mg/l,Total Alkalinity,Titration Method - Color Change using Bromcresol Green as Indicator (Endpoint pH=4.5),Titration,SM 2320 B4a,APHA 2012,A known volume of sample aliquot is titrated with standardized HCl to the end point colour change from blue to steel grey with a pH 4.5 indicator.
Alk-Tot,Alk-T-COL-BCGMR,me/L,Total Alkalinity,Titration Method - Color Change using Bromcresol Green-Methyl Red as Indicator,Titration,SM 2320 B4a,APHA 2012,"Alkalinity is defined as the quantitative capacity of a sample to neutralise a strong acid to a selected pH. A sample is preserved in the field at 4°C. If turbid, the sample is allowed to settle. A sample aliquot is titrated at 25°C, with standard H2SO4 using the mixed bromcresol green-methyl red indicator, and the colour response is indicated as follows: above pH 5.2, greenish blue; pH 5.0, light blue with lavender grey; pH 4.8, light-grey with bluish colour; and pH 4.6, light pink. The colour changes can be verified against a calibrated pH meter under the conditions of titratilon. An indicator blank is also titrated. The results are expressed as milliequivalents per litre of CaCO3."
Alk-Tot,Alk-T-COL-MO,mg/l,Total Alkalinity,Colorimetric Titration using Methyl Orange as Indicator (Endpoint pH=3.7),Colorimetry,SM 403 4.a,APHA 1975,"(i) Mix 100 ml of sample with two or three drops of phenolphthalein indicator in a conical flask. (For determination of lower values of alkalinity use 200 ml of sample). (ii) If no colour change is produced, the alkalinity to phenolphthalein is zero. (iii) If the sample turns pink or red, determine the alkalinity to phenolphthalein by titration with standard acid (0.02N HCl) until the pink colour just disappears.(iv) In both cases (ii) and (iii) continue the determination using the sample to which phenolphthalein has been added.(v) Add a few drops of methyl orange indicator.(vi) If the sample turns orange without the addition of acid, the total alkalinity is zero.(vii) If the sample turns yellow, titrate with standard acid until the first perceptible colour change towards orange takes place."
Alk-Tot,Alk-T-D1067-B,mg/l,Total Alkalinity,Electrometric or Color-Change Titration,Titration,D1067 B,ASTM 1971,"A sample is preserved in the field at 4°C. If turbid, the sample is allowed to settle. A known volume of the sample aliquot is titrated with standardized H2SO4 or HCl to the methyl purple end point of pH=4.8 -5.4 calibrated for 25°C. Methyl purple indicator is used with a blue water-soluble dye to sharpen the end point. An indicator blank is also titrated. Alternatively, one can use methyl red indicator to a pH 4.8 end point [Japan method], or methyl red to a pH 5.4 end point [Russian method], or bromophenol blue measured colourimetrically at 600 nm [South Africa]."
Alk-Tot,Alk-T-POT-Auto,mg/l,Total Alkalinity,Potentiometric Titration using Titroprocessor (Endpoint not defined),Titration,ENV 373,Environment Canada 1995,"The total alkalinity is a measure of all hydroxides, carbonates and bicarbonates present in the water sample. Total alkalinity is determined in a whole water sample by potentiometric titration of a sample aliquot with a standard solution of sulphuric acid. This method employs an automated titrator which makes incremental additions of titrant to the sample and plots a titration curve. The titration curve is a plot of pH vs volume of titrant added. The endpoint of the titration is determined by analysis of the titration curve using a first derivative function to find the inflection point (curve changes from concave to convex or vice versa). The inflection point represents the stoichiometric equivalence point for the neutralization of the carbonates and other bases present. The total alkalinity is given by the equation F*X, where X= ml of acid needed to titrate to the inflection point and F is a factor derived from standardization of the acid. The factor F, incorporates the concentration of the acid used in the titration, the volume of sample analyzed and the conversion of the units to mg/L CaCO3."
Alk-Tot,Alk-T-POT-GRN,mg/l,Total Alkalinity,Gran Titration,Titration,ENV 372,Environment Canada 1995,"The Gran Function employs an algorithm to determine inflection points from titration curves that are not well defined. The titration curves of low ionic strength soft waters and precipitation samples fall into this category. Total alkalinity of these samples is determined by titration with sulphuric acid employing an automatic titrator which makes incremental addition of titrant and plots a titration curve of pH against volume of titrant. Add 0.25mL 1 N KCl to 100mL of sample, then titrate to pH 3.7 with 0.001N HCl. ~r~n To use the Gran function, small increments of acid are added beyond the expected inflection point. Record both the incremental volumes added, and the corresponding pH. The volume corrected H+ concentration is plotted against the volume of added acid. The alkalinity is determined from extrapolation of the linear portion of the curve on the abscissa. Total alkalinity is given by the equation F*X, where X= ml of acid needed to titrate to the inflection point and F is a factor derived from standardization of the acid. The factor F incorporates the concentration of the acid used in the titration, the volume of sample analyzed, and the conversion of the units to mg/L CaCO3. The results of this titration, which is suitable only for very ""soft"" waters, may be either positive or negative."
Alk-Tot,Alk-T-POT-PTC,me/L,Total Alkalinity,Titration Method - Potentiometric Titration Curve,Titration,SM 2320 B.4b,APHA 2012,"Alkalinity is defined as the quantitative capacity of a sample to neutralise a strong acid to a selected pH. Select sample aliquot size (adjust to room temperature: 25°C) and normality of titrant. Add standard acid in increments of 0.5 mL or less, mix thoroughly; as the end point approaches, make smaller additions of acid and be sure the pH has reached equilibrium before adding more titrant. Titrate to pH of 3.7. Construct a titration curve by plotting the observed pH against the cumulative millilitres of titrant used. A smooth curve showing one or more inflections should be obtained (an erratic curve may indicate that equilibrium was not reached between successive additions). Results expressed as milliequivalent per litre of CaCO"
Alk-Tot,Alk-T-POT-TE-Auto,mg/l,Total Alkalinity,Two Endpoint Potentiometric Titration using Titroprocessor (Endpoints pH=4.5-4.2),Titration,NAQ 10101,Environment Canada 1974,"Alkalinity is defined as the quantitative capacity of a sample to neutralise a strong acid to a selected pH. A sample is preserved in the field at 4°C. If turbid, the sample is allowed to settle. A known volume of the sample aliquot is titrated with a standardized solution of H2SO4 (or HCl), to pH=4.5 then to pH=4.2, using an automatic titrator and a pH meter calibrated for 25°C. The total alkalinity is found from both titration volumes. A two endpoint technique is employed to determine the actual inflection point."
Alk-Tot,Alk-T-POT-4.5-Auto,mg/l,Total Alkalinity,Titration Method - Potentiometric Titration to preselected pH using Titroprocessor (Endpoint pH=4.5),Titration,SM 2320 B4c,APHA 2012,"If turbid, the sample is allowed to settle. An aliquot of the sample is then titrated with standard H2SO4 or HCL to pH 4.5 using an automatic titration system and a pH meter."
Al-Tot,AAS-E-NA-AR,mg/l,Aluminum - Total,Electrothermal Atomic Absorption Spectrometric Method with HNO3 or HNO3+3HCl Digestion,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with mineral acid. The sample aliquot is digested in nitric acid or aqua regia. The aliquot is then heated, usually in three stages in a graphite furnace or an electrically heated atomiser where: first, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the aluminum to be determined. The absorbance of the resultant ground state atoms is measured at 309.3 nm and is compared to identically-prepared Al standard and blank solutions."
Al-Tot,Al-COL-Merck,mg/l,Aluminum - Total,Spectroquant Aluminium Test,Colorimetry,1.148.250.001,Merck 2001,Colorimetric analysis of the coloured solution resulting from coloured lacquer and aluminum cromoazurol S buffer with acetates.
Al-Tot,Al-COL-PHOT,mg/l,Aluminum - Total,Palintest Photometer Method - Aluminium,Colorimetry,PHOT.3.A,PALINTEST 2014,"Aluminum reacts with Eriochrome Cyanine R indicator in slightly acid solution to produce a pink-red coloured complex. Fill test tube with sample to the 10 ml mark. Add one Aluminum No.1 tablet, crush and mix to dissolve. Add one Aluminum No.2 tablet, crush and mix gently to dissolve. Avoid vigorous agitation. Stand for five minutes to allow full colour development. Take photometer reading in usual manner."
Al-Tot,COL-F,mg/l,Aluminum - Total,Colorimetry using Ferron as Indicator,Colorimetry,ENV 488,Environment Canada 1995,"A sample is preserved in the field with diluted mineral acid. A hydroxylamine hydrochloride (NH2OH.HCl) solution, containing BeSO4 (to minimize the interference of fluoride), is added to two aliquots: one is the test aliquot and the other is the colour correction aliquot. A solution, containing ferron and orthophenanthroline (9, 10-phenanthroline) (to minimize the interference of iron), is added to one of the sample aliquots. Sodium acetate solution is added to both sample aliquots. The absorbance of the aliquot, containing ferron and orthophenanthroline, is measured spectrometrically at 520 nm, and compared to identically-prepared Al standard and blank solutions. A colour correction is made, using the aliquot without ferron and orthophenanthroline.The Al concentration measured is corrected for Fe, Mn and F ions, by the following equation:mg/L Al = A - B - C + D where, A = apparent mg/L Al ;B = (0.12 x mg/L Fe); C = 0.04 x mg/L Mn) ;D = (0.05 x mg/L F)"
Al-Tot,FAAS-NAc-D-NA,mg/l,Aluminum - Total,Direct Nitrous Oxide-Acetylene Flame Atomic Absorption Spectrometry with HNO3 digestion,Spectroscopy,SM 3111 D,APHA 2012,A sample is preserved in the field with nitric acid. The sample aliquot is digested with nitric acid and aspirated in a N2O-C2H2 reducing flame. The absorbance is measured spectrometrically at 309.3 nm. The sample is compared to identically-prepared Al standard and blank solutions.
Al-Tot,FAAS-NAc-E-NA,mg/l,Aluminum - Total,Extraction/Nitrous Oxide-Aceteylene Flame Atomic Absorption Spectrometry with HNO3 digestion,Spectroscopy,SM 3111 E,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested with nitric acid. The aliquot is buffered to a pH between 7.5 and 8.5 and oxine reagent is added. The solution is extracted on a mechanical shaker and the solvent layer is aspirated and the absorbance is measured spectrometrically at 309.3 nm and compared to identically-prepared standard and blank solutions, using a N2O-C2H2 reducing flame."
Al-Tot,ICP-AES-Dgs,mg/l,Aluminum - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,A sample is preserved in the field with diluted mineral acid. The sample aliquot is digested with aqua regia and evaporated near dryness. The residue is dissolved in concentration HCl and diluted appropriately. The digested sample aliquot is aspirated and the emission is measured spectrometrically at 309.3 nm (See Appendix 4) and compared to identically-prepared Al standard and blank solutions.
Al-Tot,ICP-AES-Xtr,mg/l,Aluminum - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is digested with concentrated nitric acid or aqua regia, concentrated appropriately, and aspirated from an autosampler. The emission is measured at 309.3 nm (See Appendix 4) and compared to identically-prepared standard and blank solutions."
Al-Tot,ICP-MS-CVD,mg/l,Aluminum - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Al-Tot,ICP-MS-Dgs,mg/l,Aluminum - Total,Inductively-Coupled Plasma Mass Spectrometry with Mineral Acid Digestion,Spectroscopy,SM 3125 B,APHA 2012,"A sample is preserved in the field with diluted mineral acid. The sample aliquot is digested in mineral acids and introduced in an argon stream high temperature and radio frequency plasma through a pneumatic pump. The energy from the plasma is transferred to the sample and causes desolvation, atomisation and ionisation. The ions generated are extracted from the plasma, through a vacuum interface, and separated on the basis of their mass to charge ratio in the mass spectrometer, the ions are counted by an electron multiplier detector, the data are processed by a computer data handling system and compared to identically-prepared standard and blank solutions. Interference: Isobaric elemental interferences are calculated automatically by the data system; the abundance sensitivity should be corrected through adjustment of the spectrometer resolution; physical interferences are usually corrected by ensuring the water sample does not contain more than 0.5% dissolved solids; ionisation interferences are corrected by the addition of internal standards and sufficient wash time should minimise memory interferences."
Al-Tot,ICP-SFMS-CVD,mg/l,Aluminum - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
ANTH,LLE-HPLC-FD-UVD,µg/l,"1,2-Dihydroacenaphthylene",Liquid-Liquid Extraction High Performance Liquid Chromatography and Fluorescence/UV-Detector,Chromatography,SM 6440 B,APHA 2012,"Mark the water meniscus on the side of the sample bottle for later determination of volume. Pour entire sample into a 2-L separatory funnel and extract. Separation and clean-up is by means of a silica-gel column. Add 4mL acetonitrile and concentrate the extract in a 95-100°C water bath using a micro-Snyder column. Rinse column with 0.2 mL acetonitrile. Adjust final extract volume to 1.0mL. After the operating conditions are met, proceed with calibration and sample analysis. If the internal standard calibration procedure is being used, add internal standard to sample extract and mix thoroughly. Immediately inject 5 to 25µL sample extract or standard into HPLC using a high pressure syringe or constant-volume sample injection loop. Record volume injected to nearest 0.1 µL and resulting peak size in area or peak height units. Re-equilibrate HPLC column at initial gradient conditions for at least 10 minutes between injections. Identify compounds in sample by comparing peak retention times with peaks of standard chromatograms."
ANTHRACENE,LLE-HPLC-FD-UVD,µg/l,Anthracene,Liquid-Liquid Extraction High Performance Liquid Chromatography and Fluorescence/UV-Detector,Chromatography,SM 6440 B,APHA 2012,"Mark the water meniscus on the side of the sample bottle for later determination of volume. Pour entire sample into a 2-L separatory funnel and extract. Separation and clean-up is by means of a silica-gel column. Add 4mL acetonitrile and concentrate the extract in a 95-100°C water bath using a micro-Snyder column. Rinse column with 0.2 mL acetonitrile. Adjust final extract volume to 1.0mL. After the operating conditions are met, proceed with calibration and sample analysis. If the internal standard calibration procedure is being used, add internal standard to sample extract and mix thoroughly. Immediately inject 5 to 25µL sample extract or standard into HPLC using a high pressure syringe or constant-volume sample injection loop. Record volume injected to nearest 0.1 µL and resulting peak size in area or peak height units. Re-equilibrate HPLC column at initial gradient conditions for at least 10 minutes between injections. Identify compounds in sample by comparing peak retention times with peaks of standard chromatograms."
ANTL,LLE-HPLC-FD-UVD,µg/l,Acenaphthylene,Liquid-Liquid Extraction High Performance Liquid Chromatography and Fluorescence/UV-Detector,Chromatography,SM 6440 B,APHA 2012,"Mark the water meniscus on the side of the sample bottle for later determination of volume. Pour entire sample into a 2-L separatory funnel and extract. Separation and clean-up is by means of a silica-gel column. Add 4mL acetonitrile and concentrate the extract in a 95-100°C water bath using a micro-Snyder column. Rinse column with 0.2 mL acetonitrile. Adjust final extract volume to 1.0mL. After the operating conditions are met, proceed with calibration and sample analysis. If the internal standard calibration procedure is being used, add internal standard to sample extract and mix thoroughly. Immediately inject 5 to 25µL sample extract or standard into HPLC using a high pressure syringe or constant-volume sample injection loop. Record volume injected to nearest 0.1 µL and resulting peak size in area or peak height units. Re-equilibrate HPLC column at initial gradient conditions for at least 10 minutes between injections. Identify compounds in sample by comparing peak retention times with peaks of standard chromatograms."
As-Dis,AAS-AsH-HAg-APHA1975,mg/l,Arsenic - Dissolved,Det. of As and Se by Conversion to their Hydrides and Aspiration of the Gas into the Ag-H Flame,Spectroscopy,SM 301 A.VII,APHA 1975,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is digested with sulphuric acid, nitric acid and potassium permanganate until a white fume of sulphuric acid is generated. Dissolve the residue with HCl and transfer into reactor vessel generator. Add KI, SnCl2 and ferric solutions (10 mg/L Fe), mix and let stand 15 minutes. Connect generator to Atomic Absorption Analyser, replace air with argon, quickly add one gram of zinc powder. Pass arsenic hydride into hydrogen-argon flame and the absorbance of the resultant ground state atoms is measured at 193.7 nm and is compared to identically-prepared standard and blank solutions."
As-Dis,COL-SDDC-NA,mg/l,Arsenic - Dissolved,Silver Diethyldithiocarbamate Method with HNO3 Digestion,Colorimetry,SM 404 A,APHA 1975,"A sample is preserved in the field at 4°C. The sample aliquot is digested in nitric acid. Add consecutively HCl, KI and SnCl2 solutions (swirl between each addition) to the sample aliquot and allow one hour for reduction. The inorganic arsenic is reduced (gaseous arsine) by zinc in an acid medium. The arsine is then passed through a scrubber containing glass wool impregnated with lead acetate to remove sulphide and finally through an absorber tube containing Silver Diethyl Dithiocarbamate in pyridine. The arsenic reacts with the silver salt and forms a red colour, measured spectrometrically at 540 nm and compared to identically-prepared standard and blank solutions."
As-Dis,ICP-AES,mg/l,Arsenic - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,
As-Dis,ICP-AES-AsH-PS,mg/l,Arsenic - Dissolved,Inductively Coupled Plasma (ICP) Method with AsH3 Generation and S2O8 Digestion,Spectroscopy,SM 3114C; 3120 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. All organoarsenides, from the sample aliquot, are decomposed with acidic persulphate. After reduction to arsenite with HCl, the metal is converted to its hydride form with sodium borohydride in an automated system and passed though an argon plasma torch where it is decomposed to its arsenic atoms, measured by emission spectrometry at 193.7 nm and compared to identically-prepared standard and blank solutions."
As-Dis,ICP-MS,mg/l,Arsenic - Dissolved,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
As-Dis,ICP-SFMS-CVD,mg/l,Arsenic - Dissolved,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - A filtered water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
As-Tot,AAS-AsH-HAg-EPA1986,mg/l,Arsenic - Total,Atomic Absorption Spectroscopy of Arsenic Hydride using a Hydrogen-Argon Flame (EPA 1986),Spectroscopy,EPA 7061A,EPA 1986,Samples are digested with a nitric/sulphuric acid procedure. The arsenic in in the digestate is then reduced to the trivalent form with tin chloride. The trivalent arsenic is then converted to a volatile hydride using hydrogen produced from a zinc/HCl reaction. The volatile hydride is swept into an argon hydrogen flame located in the optical path of an atomic absorption spectrometer. The resulting absorption of the lamp radiation at 193.7 nm wavelength is proportional to the arsenic concentration.
